Epoch,TrainingScenario,Accuracy
1,Setosa vs Rest,100.00
1,Versicolor vs Rest,100.00
1,Virginica vs Rest,0.00
1,Setosa vs Versicolor,0.00
1,Setosa vs Virginica,0.00
1,Versicolor vs Virginica,100.00
1,Multi-Class (All 3),0.00
2,Setosa vs Rest,100.00
2,Versicolor vs Rest,100.00
2,Virginica vs Rest,0.00
2,Setosa vs Versicolor,100.00
2,Setosa vs Virginica,100.00
2,Versicolor vs Virginica,100.00
2,Multi-Class (All 3),0.00
3,Setosa vs Rest,100.00
3,Versicolor vs Rest,100.00
3,Virginica vs Rest,66.67
3,Setosa vs Versicolor,100.00
3,Setosa vs Virginica,100.00
3,Versicolor vs Virginica,100.00
3,Multi-Class (All 3),0.00
4,Setosa vs Rest,100.00
4,Versicolor vs Rest,100.00
4,Virginica vs Rest,100.00
4,Setosa vs Versicolor,100.00
4,Setosa vs Virginica,100.00
4,Versicolor vs Virginica,100.00
4,Multi-Class (All 3),0.00
5,Setosa vs Rest,100.00
5,Versicolor vs Rest,100.00
5,Virginica vs Rest,100.00
5,Setosa vs Versicolor,100.00
5,Setosa vs Virginica,100.00
5,Versicolor vs Virginica,100.00
5,Multi-Class (All 3),0.00
6,Setosa vs Rest,100.00
6,Versicolor vs Rest,83.33
6,Virginica vs Rest,100.00
6,Setosa vs Versicolor,100.00
6,Setosa vs Virginica,100.00
6,Versicolor vs Virginica,100.00
6,Multi-Class (All 3),0.00
7,Setosa vs Rest,100.00
7,Versicolor vs Rest,80.00
7,Virginica vs Rest,100.00
7,Setosa vs Versicolor,100.00
7,Setosa vs Virginica,100.00
7,Versicolor vs Virginica,100.00
7,Multi-Class (All 3),0.00
8,Setosa vs Rest,100.00
8,Versicolor vs Rest,63.33
8,Virginica vs Rest,100.00
8,Setosa vs Versicolor,100.00
8,Setosa vs Virginica,100.00
8,Versicolor vs Virginica,100.00
8,Multi-Class (All 3),3.33
9,Setosa vs Rest,100.00
9,Versicolor vs Rest,6.67
9,Virginica vs Rest,100.00
9,Setosa vs Versicolor,100.00
9,Setosa vs Virginica,100.00
9,Versicolor vs Virginica,100.00
9,Multi-Class (All 3),100.00
10,Setosa vs Rest,100.00
10,Versicolor vs Rest,0.00
10,Virginica vs Rest,100.00
10,Setosa vs Versicolor,100.00
10,Setosa vs Virginica,100.00
10,Versicolor vs Virginica,100.00
10,Multi-Class (All 3),100.00
11,Setosa vs Rest,100.00
11,Versicolor vs Rest,0.00
11,Virginica vs Rest,100.00
11,Setosa vs Versicolor,100.00
11,Setosa vs Virginica,100.00
11,Versicolor vs Virginica,100.00
11,Multi-Class (All 3),100.00
12,Setosa vs Rest,100.00
12,Versicolor vs Rest,0.00
12,Virginica vs Rest,100.00
12,Setosa vs Versicolor,100.00
12,Setosa vs Virginica,100.00
12,Versicolor vs Virginica,100.00
12,Multi-Class (All 3),100.00
13,Setosa vs Rest,100.00
13,Versicolor vs Rest,0.00
13,Virginica vs Rest,100.00
13,Setosa vs Versicolor,100.00
13,Setosa vs Virginica,100.00
13,Versicolor vs Virginica,100.00
13,Multi-Class (All 3),100.00
14,Setosa vs Rest,100.00
14,Versicolor vs Rest,0.00
14,Virginica vs Rest,100.00
14,Setosa vs Versicolor,100.00
14,Setosa vs Virginica,100.00
14,Versicolor vs Virginica,100.00
14,Multi-Class (All 3),100.00
15,Setosa vs Rest,100.00
15,Versicolor vs Rest,0.00
15,Virginica vs Rest,100.00
15,Setosa vs Versicolor,100.00
15,Setosa vs Virginica,100.00
15,Versicolor vs Virginica,100.00
15,Multi-Class (All 3),100.00
16,Setosa vs Rest,100.00
16,Versicolor vs Rest,0.00
16,Virginica vs Rest,100.00
16,Setosa vs Versicolor,100.00
16,Setosa vs Virginica,100.00
16,Versicolor vs Virginica,100.00
16,Multi-Class (All 3),100.00
17,Setosa vs Rest,100.00
17,Versicolor vs Rest,0.00
17,Virginica vs Rest,100.00
17,Setosa vs Versicolor,100.00
17,Setosa vs Virginica,100.00
17,Versicolor vs Virginica,100.00
17,Multi-Class (All 3),100.00
18,Setosa vs Rest,100.00
18,Versicolor vs Rest,0.00
18,Virginica vs Rest,100.00
18,Setosa vs Versicolor,100.00
18,Setosa vs Virginica,100.00
18,Versicolor vs Virginica,100.00
18,Multi-Class (All 3),100.00
19,Setosa vs Rest,100.00
19,Versicolor vs Rest,0.00
19,Virginica vs Rest,100.00
19,Setosa vs Versicolor,100.00
19,Setosa vs Virginica,100.00
19,Versicolor vs Virginica,100.00
19,Multi-Class (All 3),100.00
20,Setosa vs Rest,100.00
20,Versicolor vs Rest,0.00
20,Virginica vs Rest,100.00
20,Setosa vs Versicolor,100.00
20,Setosa vs Virginica,100.00
20,Versicolor vs Virginica,100.00
20,Multi-Class (All 3),100.00
21,Setosa vs Rest,100.00
21,Versicolor vs Rest,0.00
21,Virginica vs Rest,100.00
21,Setosa vs Versicolor,100.00
21,Setosa vs Virginica,100.00
21,Versicolor vs Virginica,100.00
21,Multi-Class (All 3),100.00
22,Setosa vs Rest,100.00
22,Versicolor vs Rest,0.00
22,Virginica vs Rest,100.00
22,Setosa vs Versicolor,100.00
22,Setosa vs Virginica,100.00
22,Versicolor vs Virginica,100.00
22,Multi-Class (All 3),100.00
23,Setosa vs Rest,100.00
23,Versicolor vs Rest,0.00
23,Virginica vs Rest,100.00
23,Setosa vs Versicolor,100.00
23,Setosa vs Virginica,100.00
